city,country,main_temp,main_pressure,main_humidity,weather_description,datetime
Berlin,DE,10.92,1016,58,broken clouds,2025-03-25T16:50:10
Tokyo,JP,18.51,1001,62,clear sky,2025-03-25T16:50:10
Paris,FR,13.59,1021,68,broken clouds,2025-03-25T16:51:10
London,GB,13.8,1023,80,overcast clouds,2025-03-25T16:51:10
New York,US,12.34,1012,37,few clouds,2025-03-25T16:51:10
Berlin,DE,10.92,1016,58,broken clouds,2025-03-25T16:51:10
Tokyo,JP,18.51,1001,62,clear sky,2025-03-25T16:51:10
Paris,FR,13.59,1021,68,broken clouds,2025-03-25T16:52:09
London,GB,13.8,1023,80,overcast clouds,2025-03-25T16:52:09
New York,US,12.34,1012,37,few clouds,2025-03-25T16:52:09
Berlin,DE,10.92,1016,58,broken clouds,2025-03-25T16:52:09
Tokyo,JP,18.51,1001,62,clear sky,2025-03-25T16:52:09
Paris,FR,13.59,1021,68,broken clouds,2025-03-25T16:53:10
London,GB,13.8,1023,80,overcast clouds,2025-03-25T16:53:10
New York,US,12.34,1012,37,few clouds,2025-03-25T16:53:10
Berlin,DE,10.92,1016,58,broken clouds,2025-03-25T16:53:10
Tokyo,JP,18.51,1001,62,clear sky,2025-03-25T16:53:10
Paris,FR,13.59,1021,68,broken clouds,2025-03-25T16:54:10
London,GB,13.8,1023,80,overcast clouds,2025-03-25T16:54:10
New York,US,12.34,1012,37,few clouds,2025-03-25T16:54:10
Berlin,DE,10.92,1016,58,broken clouds,2025-03-25T16:54:10
Tokyo,JP,18.51,1001,62,clear sky,2025-03-25T16:54:10
Paris,FR,13.59,1021,68,broken clouds,2025-03-25T16:55:10
London,GB,13.8,1023,80,overcast clouds,2025-03-25T16:55:10
New York,US,12.34,1012,37,few clouds,2025-03-25T16:55:10
Berlin,DE,10.92,1016,58,broken clouds,2025-03-25T16:55:10
Tokyo,JP,18.51,1001,62,clear sky,2025-03-25T16:55:10
Paris,FR,13.59,1021,68,broken clouds,2025-03-25T16:56:09
London,GB,13.8,1023,80,overcast clouds,2025-03-25T16:56:09
New York,US,12.34,1012,37,few clouds,2025-03-25T16:56:09
Berlin,DE,10.92,1016,58,broken clouds,2025-03-25T16:56:09
Tokyo,JP,18.51,1001,62,clear sky,2025-03-25T16:56:09
Paris,FR,13.59,1021,68,broken clouds,2025-03-25T17:01:28
London,GB,13.8,1023,80,overcast clouds,2025-03-25T17:01:28
New York,US,12.38,1012,37,few clouds,2025-03-25T17:01:28
Berlin,DE,10.77,1016,58,broken clouds,2025-03-25T17:01:28
Tokyo,JP,18.51,1001,63,clear sky,2025-03-25T17:01:28
Paris,FR,13.59,1021,68,broken clouds,2025-03-25T17:01:41
London,GB,13.8,1023,80,overcast clouds,2025-03-25T17:01:41
